"Time","all.datatransfer.all","all.request.count","cluster.node_count","cluster.node_cpu_count","current_operation","environment","fail.datatransfer.all","fail.datatransfer.max","fail.datatransfer.mean","fail.datatransfer.min","fail.datatransfer.percent50","fail.datatransfer.percent75","fail.datatransfer.percent95","fail.datatransfer.percent99","fail.latency.max","fail.latency.mean","fail.latency.min","fail.latency.percent50","fail.latency.percent75","fail.latency.percent95","fail.latency.percent99","fail.latency.stddev","fail.request.count","fail.request.rps","latency_count.less_or_eq_800","latency_count.more_800_less_1200","latency_count.more_or_eq_1200","node_type","ok.datatransfer.all","ok.datatransfer.max","ok.datatransfer.mean","ok.datatransfer.min","ok.datatransfer.percent50","ok.datatransfer.percent75","ok.datatransfer.percent95","ok.datatransfer.percent99","ok.latency.max","ok.latency.mean","ok.latency.min","ok.latency.percent50","ok.latency.percent75","ok.latency.percent95","ok.latency.percent99","ok.latency.stddev","ok.request.count","ok.request.rps","scenario","session_id","simulation.value","step","test_name","test_suite"
2024-02-14 09:48:17,0,28253,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,755,0.820,0.0800,0.200,0.480,0.770,1.03,17.7,28253,5651,load,2024-02-14_06.47.72_session_f02249c8,20,Get balance,test_http_api,gitter.io
2024-02-14 09:48:17,0,14129,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1426,2.27,0.340,0.940,1.23,1.72,2.15,37.6,14129,2826,load,2024-02-14_06.47.72_session_f02249c8,20,InitPhace,test_http_api,gitter.io
2024-02-14 09:48:17,0,14129,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2364,4.49,1.17,2.90,3.37,4.15,4.81,48.9,14129,2826,load,2024-02-14_06.47.72_session_f02249c8,20,global information,test_http_api,gitter.io
2024-02-14 09:48:17,0,42388,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,758,1.23,0.190,0.620,0.820,1.24,1.61,19.1,42388,8478,load,2024-02-14_06.47.72_session_f02249c8,20,Reserve balance,test_http_api,gitter.io
2024-02-14 09:48:17,0,14129,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,730,1.13,0.0900,0.210,0.500,0.790,1.03,22.5,14129,2826,load,2024-02-14_06.47.72_session_f02249c8,20,Find balance,test_http_api,gitter.io
2024-02-14 09:48:17,0,14132,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1412,2.35,0.320,0.910,1.20,1.67,2.09,42.8,14132,2826,load,2024-02-14_06.47.72_session_f02249c8,20,EndPhace,test_http_api,gitter.io
2024-02-14 09:48:17,0,14121,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1417,1.44,0.320,0.910,1.20,1.69,2.11,22.1,14121,2824,load,2024-02-14_06.47.72_session_f02249c8,20,ConstPhace,test_http_api,gitter.io
2024-02-14 09:48:22,0,34787,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.06,0.950,0.310,0.890,1.18,1.64,2.02,0.380,34787,6957,load,2024-02-14_06.47.72_session_f02249c8,20,EndPhace,test_http_api,gitter.io
2024-02-14 09:48:22,0,34792,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.38,0.940,0.310,0.880,1.17,1.64,2.01,0.380,34792,6958,load,2024-02-14_06.47.72_session_f02249c8,20,ConstPhace,test_http_api,gitter.io
2024-02-14 09:48:22,0,34786,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,3.04,0.970,0.340,0.910,1.20,1.67,2.05,0.380,34786,6957,load,2024-02-14_06.47.72_session_f02249c8,20,InitPhace,test_http_api,gitter.io
