,Time,all.datatransfer.all,all.request.count,cluster.node_count,cluster.node_cpu_count,current_operation,environment,fail.datatransfer.all,fail.datatransfer.max,fail.datatransfer.mean,fail.datatransfer.min,fail.datatransfer.percent50,fail.datatransfer.percent75,fail.datatransfer.percent95,fail.datatransfer.percent99,fail.latency.max,fail.latency.mean,fail.latency.min,fail.latency.percent50,fail.latency.percent75,fail.latency.percent95,fail.latency.percent99,fail.latency.stddev,fail.request.count,fail.request.rps,latency_count.less_or_eq_800,latency_count.more_800_less_1200,latency_count.more_or_eq_1200,node_type,ok.datatransfer.all,ok.datatransfer.max,ok.datatransfer.mean,ok.datatransfer.min,ok.datatransfer.percent50,ok.datatransfer.percent75,ok.datatransfer.percent95,ok.datatransfer.percent99,ok.latency.max,ok.latency.mean,ok.latency.min,ok.latency.percent50,ok.latency.percent75,ok.latency.percent95,ok.latency.percent99,ok.latency.stddev,ok.request.count,ok.request.rps,scenario,session_id,simulation.value,status_code.count,status_code.status,step,test_name,test_suite
15,2024-02-07 14:05:51,0,237399,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.29,0.31,0.07,0.21,0.45,0.74,0.97,0.22,237399,47480,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
16,2024-02-07 14:05:56,0,240480,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.3,0.31,0.08,0.21,0.44,0.73,0.96,0.21,240480,48096,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
17,2024-02-07 14:05:56,0,240480,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.3,0.31,0.07,0.2,0.44,0.73,0.96,0.21,240480,48096,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
18,2024-02-07 14:06:01,0,240604,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.1,0.31,0.07,0.2,0.44,0.73,0.96,0.21,240604,48121,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
19,2024-02-07 14:06:01,0,240604,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.1,0.31,0.07,0.2,0.44,0.73,0.96,0.21,240604,48121,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
20,2024-02-07 14:06:06,0,240729,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.91,0.31,0.07,0.21,0.44,0.73,0.95,0.21,240729,48146,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
21,2024-02-07 14:06:06,0,240729,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.91,0.31,0.07,0.21,0.44,0.72,0.94,0.21,240729,48146,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
22,2024-02-07 14:06:11,0,243338,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.9,0.31,0.07,0.21,0.44,0.72,0.94,0.21,243338,48668,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
23,2024-02-07 14:06:11,0,243338,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,1.9,0.3,0.07,0.2,0.44,0.71,0.94,0.21,243338,48668,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
24,2024-02-07 14:06:16,0,223156,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.4,0.33,0.08,0.23,0.47,0.8,1.08,0.24,223156,44631,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
25,2024-02-07 14:06:16,0,223156,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.39,0.33,0.08,0.22,0.47,0.79,1.08,0.24,223156,44631,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
26,2024-02-07 14:06:21,0,221814,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,15.9,0.34,0.08,0.27,0.47,0.79,1.05,0.26,221814,44363,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
27,2024-02-07 14:06:21,0,221814,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,15.9,0.33,0.08,0.27,0.47,0.79,1.05,0.26,221814,44363,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
28,2024-02-07 14:06:26,0,224547,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.19,0.33,0.08,0.26,0.47,0.78,1.04,0.23,224547,44909,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
29,2024-02-07 14:06:26,0,224547,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.19,0.33,0.07,0.25,0.46,0.78,1.04,0.23,224547,44909,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
30,2024-02-07 14:06:31,0,224172,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.37,0.33,0.07,0.27,0.47,0.78,1.05,0.23,224172,44834,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
31,2024-02-07 14:06:31,0,224172,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.36,0.33,0.07,0.27,0.46,0.78,1.04,0.23,224172,44834,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
32,2024-02-07 14:06:36,0,223527,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.22,0.33,0.08,0.26,0.47,0.79,1.06,0.23,223527,44705,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
33,2024-02-07 14:06:36,0,223527,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.21,0.33,0.07,0.26,0.47,0.79,1.05,0.23,223527,44705,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,Reserve balance,test_http_api,gitter.io
34,2024-02-07 14:06:41,0,222632,,,bombing,linux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,SingleNode,0,0,0,0,0,0,0,0,2.24,0.34,0.07,0.27,0.47,0.79,1.06,0.23,222632,44526,checkConsistency,2024-02-07_11.05.19_session_b8fecd86,15,,,global information,test_http_api,gitter.io
